16
0,0,7,0,6,0,0,0,4,15,0,8,0,10,13,5
6,0,13,0,0,2,5,15,1,0,16,7,4,0,3,0
0,15,0,1,7,4,0,10,9,14,5,3,8,12,6,2
5,8,14,4,0,0,9,3,2,0,6,0,11,15,1,0
14,0,3,0,0,1,2,8,11,16,7,4,0,0,0,10
0,2,0,0,14,6,0,0,12,9,3,1,13,5,8,4
1,0,0,0,4,5,12,11,10,0,13,0,0,0,2,3
0,0,4,16,3,0,0,0,0,5,0,2,1,0,14,11
10,14,2,15,0,0,16,0,0,0,0,11,3,1,0,0
8,1,0,0,0,9,0,4,16,7,2,12,0,0,0,15
0,11,0,13,5,0,7,12,0,1,8,15,0,2,4,6
4,5,0,0,2,15,11,1,13,3,0,0,0,8,0,14
0,0,8,10,0,14,4,13,0,2,0,5,0,3,12,1
0,0,5,14,1,7,3,2,6,0,0,10,0,0,9,0
0,4,0,2,0,12,0,0,15,13,1,0,0,7,0,0
0,7,1,0,11,0,8,9,0,12,0,0,2,4,5,0
